Unnamed: 0,title,text,subject,date,class
0,"As U.S. budget fight looms, Republicans flip their fiscal script",the head of a conservative republican faction in the us congress who voted this month for a huge expansion of the national debt to pay for tax cuts called himself a fiscal conservative on sunday and urged budget restraint in 2018 in keeping with a sharp pivot under way among republicans us representative mark meadows speaking on cbs face the nation drew a hard line on federal spending which lawmakers are bracing to do battle over in january when they return from the holidays on wednesday lawmakers will begin trying to pass a federal budget in a fight likely to be linked to other issues such as immigration policy even as the november congressional election campaigns approach in which republicans will seek to keep control of congress president donald trump and his republicans want a big budget increase in military spending while democrats also want proportional increases for nondefense discretionary spending on programs that support education scientific research infrastructure public health and environmental protection the trump administration has already been willing to say were going to increase nondefense discretionary spending about 7 percent meadows chairman of the small but influential house freedom caucus on the program now democrats are saying thats not enough we need to give the government a pay raise of 10 to 11 percent for a fiscal conservative i dont see where the rationale is eventually you run out of other peoples money he meadows was among republicans who voted in late december for their partys debtfinanced tax overhaul which is expected to balloon the federal budget deficit and add about 15 trillion over 10 years to the 20 trillion national debt its interesting to hear mark talk about fiscal responsibility democratic us representative joseph crowley on cbs crowley the republican tax bill would require the united states to borrow 15 trillion to be paid off future generations to finance tax cuts for corporations and the rich this is one of the least fiscally responsible bills weve ever seen passed in the history of the house of representatives i think were going to be paying for this for many many years to come crowley republicans insist the tax package the biggest us tax overhaul in more than 30 years will boost the economy and job growth house speaker paul ryan who also supported the tax bill recently went further than meadows making clear in a radio interview that welfare or entitlement reform as the party often calls it would be a top republican priority in 2018 in republican parlance entitlement programs mean food stamps housing assistance medicare and medicaid health insurance for the elderly poor and disabled as well as other programs created washington to assist the needy democrats seized on ryans early december remarks saying they showed republicans would try to pay for their tax overhaul seeking spending cuts for social programs but the goals of house republicans may have to take a back seat to the senate where the votes of some democrats will be needed to approve a budget and prevent a government shutdown democrats will use their leverage in the senate which republicans narrowly control to defend both discretionary nondefense programs and social spending while tackling the issue of the dreamers people brought illegally to the country as children trump in september put a march 2018 expiration date on the deferred action for childhood arrivals or daca program which protects the young immigrants from deportation and provides them with work permits the president has in recent messages he wants funding for his proposed mexican border wall and other immigration law changes in exchange for agreeing to help the dreamers representative debbie dingell cbs she did not favor linking that issue to other policy objectives such as wall funding we need to do daca clean she on wednesday trump aides will meet with congressional leaders to discuss those issues that will be followed a weekend of strategy sessions for trump and republican leaders on jan 6 and 7 the white house trump was also scheduled to meet on sunday with florida republican governor rick scott who wants more emergency aid the house has passed an 81 billion aid package after hurricanes in florida texas and puerto rico and wildfires in california the package far exceeded the 44 billion requested the trump administration the senate has not yet voted on the aid,politicsNews,"December 31, 2017 ",1
1,U.S. military to accept transgender recruits on Monday: Pentagon,transgender people will be allowed for the first time to enlist in the us military starting on monday as ordered federal courts the pentagon on friday after president donald trumps administration decided not to appeal rulings that blocked his transgender ban two federal appeals courts one in washington and one in virginia last week rejected the administrations request to put on hold orders lower court judges requiring the military to begin accepting transgender recruits on jan 1 a justice department official the administration will not challenge those rulings the department of defense has announced that it will be releasing an independent study of these issues in the coming weeks so rather than litigate this interim appeal before that occurs the administration has decided to wait for dods study and will continue to defend the presidents lawful authority in district court in the meantime the official speaking on condition of anonymity in september the pentagon it had created a panel of senior officials to study how to implement a directive trump to prohibit transgender individuals from serving the defense department has until feb 21 to submit a plan to trump lawyers representing currentlyserving transgender service members and aspiring recruits they had expected the administration to appeal the rulings to the conservativemajority supreme court but were hoping that would not happen pentagon spokeswoman heather babb in a statement as mandated court order the department of defense is prepared to begin accessing transgender applicants for military service jan 1 all applicants must meet all accession standards jennifer levi a lawyer with gay lesbian and transgender advocacy group glad called the decision not to appeal great news im hoping it means the government has come to see that there is no way to justify a ban and that its not good for the military or our country levi both glad and the american civil liberties union represent plaintiffs in the lawsuits filed against the administration in a move that appealed to his hardline conservative supporters trump announced in july that he would prohibit transgender people from serving in the military reversing democratic president barack obamas policy of accepting them trump on at the time that the military cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail four federal judges in baltimore washington dc seattle and riverside california have issued rulings blocking trumps ban while legal challenges to the republican presidents policy proceed the judges the ban would likely violate the right under the us constitution to equal protection under the law the pentagon on dec 8 issued guidelines to recruitment personnel in order to enlist transgender applicants jan 1 the memo outlined medical requirements and specified how the applicants sex would be identified and even which undergarments they would wear the trump administration previously in legal papers that the armed forces were not prepared to train thousands of personnel on the medical standards needed to process transgender applicants and might have to accept some individuals who are not medically fit for service the obama administration had set a deadline of july 1 2017 to begin accepting transgender recruits but trumps defense secretary james mattis postponed that date to jan 1 2018 which the presidents ban then put off indefinitely trump has taken other steps aimed at rolling back transgender rights in october his administration a federal law banning genderbased workplace discrimination does not protect transgender employees reversing another obamaera position in february trump rescinded guidance issued the obama administration saying that public schools should allow transgender students to use the restroom that corresponds to their gender identity,politicsNews,"December 29, 2017 ",1
2,Senior U.S. Republican senator: 'Let Mr. Mueller do his job',the special counsel investigation of links between russia and president trumps 2016 election campaign should continue without interference in 2018 despite calls from some trump administration allies and republican lawmakers to shut it down a prominent republican senator on sunday lindsey graham who serves on the senate armed forces and judiciary committees department of justice special counsel robert mueller needs to carry on with his russia investigation without political interference this investigation will go forward it will be an investigation conducted without political influence graham on cbss face the nation news program and we all need to let mr mueller do his job i think hes the right guy at the right time the question of how russia may have interfered in the election and how trumps campaign may have had links with or coordinated any such effort has loomed over the white house since trump took office in january it shows no sign of receding as trump prepares for his second year in power despite intensified rhetoric from some trump allies in recent weeks accusing muellers team of bias against the republican president trump himself seemed to undercut his supporters in an interview last week with the new york times in which he he expected mueller was going to be fair russias role in the election and the question of possible links to the trump campaign are the focus of multiple inquiries in washington three committees of the senate and the house of representatives are investigating as well as mueller whose team in may took over an earlier probe launched the us federal bureau of investigation fbi several members of the trump campaign and administration have been convicted or indicted in the investigation trump and his allies deny any collusion with russia during the campaign and the kremlin has denied meddling in the election graham he still wants an examination of the fbis use of a dossier on links between trump and russia that was compiled a former british spy christopher steele which prompted trump allies and some republicans to question muellers inquiry on saturday the new york times that it was not that dossier that triggered an early fbi probe but a tip from former trump campaign foreign policy adviser george papadopoulos to an australian diplomat that russia had damaging information about former trump rival hillary clinton i want somebody to look at the way the department of justice used this dossier it bothers me greatly the way they used it and i want somebody to look at it graham but he the russia investigation must continue as a matter of fact it would hurt us if we ignored it he,politicsNews,"December 31, 2017 ",1
3,FBI Russia probe helped by Australian diplomat tip-off: NYT,trump campaign adviser george papadopoulos an australian diplomat in may 2016 that russia had political dirt on democratic presidential candidate hillary clinton the new york times on saturday the conversation between papadopoulos and the diplomat alexander downer in london was a driving factor behind the fbis decision to open a counterintelligence investigation of moscows contacts with the trump campaign the times two months after the meeting australian officials passed the information that came from papadopoulos to their american counterparts when leaked democratic emails began appearing online to the newspaper which cited four current and former us and foreign officials besides the information from the australians the probe the federal bureau of investigation was also propelled intelligence from other friendly governments including the british and dutch the times papadopoulos a chicagobased international energy lawyer pleaded guilty on oct 30 to lying to fbi agents about contacts with people who claimed to have ties to top russian officials it was the first criminal charge alleging links between the trump campaign and russia the white house has played down the former aides campaign role saying it was extremely limited and that any actions he took would have been on his own the new york times however that papadopoulos helped set up a meeting between thencandidate donald trump and egyptian president abdel fattah alsisi and edited the outline of trumps first major foreign policy speech in april 2016 the federal investigation which is now being led special counsel robert mueller has hung over trumps white house since he took office almost a year ago some trump allies have recently accused muellers team of being biased against the republican president lawyers for papadopoulos did not immediately respond to requests for comment muellers office declined to comment trumps white house attorney ty cobb declined to comment on the new york times report out of respect for the special counsel and his process we are not commenting on matters such as this he in a statement mueller has charged four trump associates including papadopoulos in his investigation russia has denied interfering in the us election and trump has there was no collusion between his campaign and moscow,politicsNews,"December 30, 2017 ",1
4,Trump wants Postal Service to charge 'much more' for Amazon shipments,president donald trump called on the us postal service on friday to charge much more to ship packages for amazon amzno picking another fight with an online retail giant he has criticized in the past why is the united states post office which is losing many billions of dollars a year while charging amazon and others so little to deliver their packages making amazon richer and the post office dumber and poorer should be charging much more trump wrote on the presidents tweet drew fresh attention to the fragile finances of the postal service at a time when tens of millions of parcels have just been shipped all over the country for the holiday season the us postal service which runs at a big loss is an independent agency within the federal government and does not receive tax dollars for operating expenses to its website package delivery has become an increasingly important part of its business as the internet has led to a sharp decline in the amount of firstclass letters the president does not determine postal rates they are set the postal regulatory commission an independent government agency with commissioners selected the president from both political parties that panel raised prices on packages almost 2 percent in november amazon was founded jeff bezos who remains the chief executive officer of the retail company and is the richest person in the world to bloomberg news bezos also owns the washington post a newspaper trump has repeatedly railed against in his criticisms of the news media in tweets over the past year trump has the amazon washington post fabricated stories he has amazon does not pay sales tax which is not true and so hurts other retailers part of a pattern the former businessman and reality television host of periodically turning his ire on big american companies since he took office in january daniel ives a research analyst at gbh insights trumps comment could be taken as a warning to the retail giant however he he was not concerned for amazon we do not see any price hikes in the future however that is a risk that amazon is clearly aware of and it is building out its distribution system aggressively he amazon has shown interest in the past in shifting into its own delivery service including testing drones for deliveries in 2015 the company spent 115 billion on shipping 46 percent of its total operating expenses that year amazon shares were down 086 percent to 117590 early afternoon overall us stock prices were down slightly on friday satish jindel president of shipmatrix inc which analyzes shipping data disputed the idea that the postal service charges less than united parcel service inc upsn and fedex corp fdxn the other biggest players in the parcel delivery business in the united states many customers get lower rates from ups and fedex than they would get from the post office for comparable services he the postal service delivers about 62 percent of amazon packages for about 35 to 4 million a day during the current peak yearend holiday shipping season jindel the seattlebased company and the post office have an agreement in which mail carriers take amazon packages on the last leg of their journeys from post offices to customers doorsteps amazons no 2 carrier is ups at 21 percent and fedex is third with 8 percent or so to jindel trumps comment tapped into a debate over whether postal service pricing has kept pace with the rise of ecommerce which has flooded the mail with small packagesprivate companies like ups have long claimed the current system unfairly undercuts their business steve gaut a for ups noted that the company values its productive relationship with the postal service but that it has filed with the postal regulatory commission its concerns about the postal services methods for covering costs representatives for amazon the white house the us postal service and fedex declined comment or were not immediately available for comment on trumps tweet to its annual report the postal service lost 274 billion this year and its deficit has ballooned to 6186 billion while the postal services revenue for first class mail marketing mail and periodicals is flat or declining revenue from package delivery is up 44 percent since 2014 to 195 billion in the fiscal year ended sept 30 2017 but it also lost about 2 billion in revenue when a temporary surcharge expired in april 2016 to a government accountability office report in february the service is facing growing personnel expenses particularly 734 billion in unfunded pension and benefits liabilities the postal service has not announced any plans to cut costs law the postal service has to set prices for package delivery to cover the costs attributable to that service but the postal service allocates only 55 percent of its total costs to its business of shipping packages even though that line of business is 28 percent of its total revenue,politicsNews,"December 29, 2017 ",1
5,"White House, Congress prepare for talks on spending, immigration",the white house on friday it was set to kick off talks next week with republican and democratic congressional leaders on immigration policy government spending and other issues that need to be wrapped up early in the new year the expected flurry of legislative activity comes as republicans and democrats begin to set the stage for midterm congressional elections in november president donald trumps republican party is eager to maintain control of congress while democrats look for openings to wrest seats away in the senate and the house of representatives on wednesday trumps budget chief mick mulvaney and legislative affairs director marc short will meet with senate majority leader mitch mcconnell and house speaker paul ryan both republicans and their democratic counterparts senator chuck schumer and representative nancy pelosi the white house that will be followed up with a weekend of strategy sessions for trump mcconnell and ryan on jan 6 and 7 at the camp david presidential retreat in maryland to the white house the senate returns to work on jan 3 and the house on jan 8 congress passed a shortterm government funding bill last week before taking its christmas break but needs to come to an agreement on defense spending and various domestic programs jan 19 or the government will shut down also on the agenda for lawmakers is disaster aid for people hit hurricanes in puerto rico texas and florida and wildfires in california the house passed an 81 billion package in december which the senate did not take up the white house has asked for a smaller figure 44 billion deadlines also loom for soontoexpire protections for young adult immigrants who entered the country illegally as children known as dreamers in september trump ended democratic former president barack obamas deferred action for childhood arrivals daca program which protected dreamers from deportation and provided work permits effective in march giving congress until then to devise a longterm solution democrats some republicans and a number of large companies have pushed for daca protections to continue trump and other republicans have that will not happen without congress approving broader immigration policy changes and tougher border security democrats oppose funding for a wall promised trump along the usmexican border the democrats have been and fully understand that there can be no daca without the desperately needed wall at the southern border and an end to the horrible chain migration ridiculous lottery system of immigration etc trump in a post on friday trump wants to overhaul immigration rules for extended families and others seeking to live in the united states republican us senator jeff flake a frequent critic of the president he would work with trump to protect dreamers we can fix daca in a way that beefs up border security stops chain migration for the dreamers and addresses the unfairness of the diversity lottery if potus trump wants to protect these kids we want to help him keep that promise flake wrote on congress in early 2018 also must raise the us debt ceiling to avoid a government default the us treasury would exhaust all of its borrowing options and run dry of cash to pay its bills late march or early april if congress does not raise the debt ceiling before then to the nonpartisan congressional budget office trump who won his first major legislative victory with the passage of a major tax overhaul this month has also promised a major infrastructure plan,politicsNews,"December 29, 2017 ",1
6,"Trump says Russia probe will be fair, but timeline unclear: NYT",president donald trump on thursday he believes he will be fairly treated in a special counsel investigation into russian meddling in the us presidential election but he did not know how long the probe would last the federal investigation has hung over trumps white house since he took office almost a year ago and some trump allies have in recent weeks accused the team of justice department special counsel robert mueller of being biased against the republican president but in an interview with the new york times trump appeared to shrug off concerns about the investigation which was prompted us intelligence agencies conclusion that russia tried to help trump defeat democrat hillary clinton hacking and releasing embarrassing emails and disseminating propaganda theres been no collusion but i think hes going to be fair trump in what the times described as a 30minute impromptu interview at his golf club in west palm beach florida mueller has charged four trump associates in his investigation russia has denied interfering in the us election us deputy attorney general rod rosenstein this month that he was not aware of any impropriety muellers team trumps lawyers have been saying for weeks that they had expected the mueller investigation to wrap up quickly possibly the end of 2017 mueller has not commented on how long it will last trump the times that he did not know how long the investigation would take timingwise i cant tell you i just dont know he trump he thought a prolonged probe makes the country look bad but it has energized his core supporters what its done is its really angered the base and made the base stronger my base is strong than its ever been he the interview was a rare break in trumps christmas vacation in florida he has golfed each day aside from christmas day and mainly kept a low profile apart from the occasional flurry of tweets he spent one day golfing with republican senator david perdue from georgia who has pushed legislation to cap immigration numbers and had dinner on thursday with commerce secretary wilbur ross an international trade hawk trump the times he hoped to work with democrats in the us congress on a spending plan to fix roads and other infrastructure and on protections for a group of undocumented immigrants who were brought to the united states as children trump spoke about trade issues saying he had backed off his hard line on chinese trade practices in the hope that beijing would do more to pressure north korea to end its nuclear and missile testing program he he had been disappointed in the results he also complained about the north american free trade agreement nafta which his administration is attempting to renegotiate in talks with mexico and canada trump canadian prime minister justin trudeau had played down the importance of canadian oil and lumber exports to the united states when looking at the balance of trade between the two countries if i dont make the right deal ill terminate nafta in two seconds but were doing pretty good trump,politicsNews,"December 29, 2017 ",1
7,"Factbox: Trump on Twitter (Dec 29) - Approval rating, Amazon",the following statements were posted to the verified accounts of us president donald trump and the opinions expressed are his own has not edited the statements or confirmed their accuracy while the fake news loves to talk about my socalled low approval rating just showed that my rating on dec 28 2017 was approximately the same as president obama on dec 28 2009 which was 47and this despite massive negative trump coverage russia hoax 0746 est why is the united states post office which is losing many billions of dollars a year while charging amazon and others so little to deliver their packages making amazon richer and the post office dumber and poorer should be charging much more 0804 est source link bitly2jbh4lu bitly2jpexyr,politicsNews,"December 29, 2017 ",1
8,Trump on Twitter (Dec 28) - Global Warming,the following statements were posted to the verified accounts of us president donald trump and the opinions expressed are his own has not edited the statements or confirmed their accuracy together we are making america great again bitly2lnpkaq 1814 est in the east it could be the coldest new years eve on record perhaps we could use a little bit of that good old global warming that our country but not other countries was going to pay trillions of dollars to protect against bundle up 1901 est source link bitly2jbh4lu bitly2jpexyr,politicsNews,"December 29, 2017 ",1
9,Alabama official to certify Senator-elect Jones today despite challenge: CNN,alabama secretary of state john merrill he will certify democratic senatorelect doug jones as winner on thursday despite opponent roy moores challenge in a phone call on cnn moore a conservative who had faced allegations of groping teenage girls when he was in his 30s filed a court challenge late on wednesday to the outcome of a us senate election he unexpectedly lost,politicsNews,"December 28, 2017 ",1
